time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-11-24T14:38:36.059Z,-22.8994,172.0621,10,4.8,mb,,130,5.26,0.75,us,us7000fwq7,2021-11-24T14:59:56.040Z,"southeast of the Loyalty Islands",earthquake,9.8,1.9,0.128,19,reviewed,us,us
2021-11-24T14:04:42.143Z,-29.6914,-176.5777,10,4.9,mb,,125,1.246,1.06,us,us7000fwq4,2021-11-24T14:22:41.040Z,"Kermadec Islands region",earthquake,7.9,1.9,0.122,21,reviewed,us,us
2021-11-24T09:55:18.096Z,24.0251,122.4574,22.51,5.2,mb,,73,0.67,0.73,us,us7000fwp2,2021-11-24T13:10:48.471Z,"73 km SW of Yonakuni, Japan",earthquake,4.4,1.8,0.06,91,reviewed,us,us
2021-11-24T09:47:59.642Z,29.9057,-113.7897,10,4.6,mwr,,195,1.453,0.95,us,us7000fwny,2021-11-24T10:06:03.040Z,"106 km W of La Libertad, Mexico",earthquake,6.5,2,0.037,69,reviewed,us,us
2021-11-24T09:16:40.476Z,26.895,106.712,10,5,mb,,91,6.108,0.88,us,us7000fwns,2021-11-24T10:09:47.979Z,"34 km N of Guiyang, China",earthquake,10.2,1.9,0.08,50,reviewed,us,us
2021-11-24T08:06:34.744Z,39.3903,142.0686,49.43,4.9,mb,,133,1.595,1.21,us,us7000fwne,2021-11-24T09:42:43.179Z,"13 km SE of Yamada, Japan",earthquake,7.7,7,0.059,89,reviewed,us,us
2021-11-24T05:53:47.961Z,-16.9403,175.2363,10,5.6,mww,,66,2.806,0.68,us,us7000fwms,2021-11-24T09:47:55.208Z,"247 km WNW of Lautoka, Fiji",earthquake,8.2,1.9,0.098,10,reviewed,us,us
2021-11-24T05:44:48.675Z,36.7338,141.2984,40.55,4.6,mb,,153,2.492,0.79,us,us7000fwmq,2021-11-24T09:43:57.099Z,"49 km E of Kitaibaraki, Japan",earthquake,10.5,10,0.137,16,reviewed,us,us
2021-11-24T04:37:21.149Z,29.8971,-113.7879,10,4.9,mb,,157,1.461,1.08,us,us7000fwmd,2021-11-24T08:09:45.088Z,"Baja California, Mexico",earthquake,6.1,1.9,0.059,91,reviewed,us,us
2021-11-24T04:29:02.226Z,-16.6458,175.1156,10,5.4,mww,,55,3.012,0.96,us,us7000fwm8,2021-11-24T06:31:47.453Z,"270 km WNW of Lautoka, Fiji",earthquake,9.7,1.9,0.098,10,reviewed,us,us
