timestamp,Greater Sudbury,Jacksonville
20211116T0000,-3.6281826,13.805336
20211116T0100,-3.7681828,13.335337
20211116T0200,-4.0981827,12.905336
20211116T0300,-4.3981824,12.625337
20211116T0400,-4.7081823,12.335337
20211116T0500,-5.0381823,12.115336
20211116T0600,-5.4181824,11.905336
20211116T0700,-5.3981824,9.435336
20211116T0800,-5.1681824,11.365336
20211116T0900,-3.3981826,15.525336
20211116T1000,-2.2681828,18.665337
20211116T1100,-1.5581827,20.365337
20211116T1200,-0.7881827,21.455338
20211116T1300,-0.41818267,22.055338
20211116T1400,-0.14818268,22.245337
20211116T1500,-0.15818268,21.985336
20211116T1600,-0.7181827,21.255337
20211116T1700,-1.7281827,19.465338
20211116T1800,-1.7481828,17.125338
20211116T1900,-2.2981827,15.985336
20211116T2000,-2.5381827,15.205337
20211116T2100,-3.0381827,14.925336
20211116T2200,-2.0281827,14.925336
20211116T2300,-1.5681827,14.745337
20211117T0000,-1.1581827,14.665337
20211117T0100,-0.7281827,14.565336
20211117T0200,-0.30818266,14.505336
20211117T0300,0.011817321,14.455337
20211117T0400,0.32181734,14.455337
20211117T0500,0.93181735,14.365336
20211117T0600,1.2418172,14.485336
20211117T0700,0.14181732,14.555336
20211117T0800,0.30181733,17.055338
20211117T0900,0.92181736,20.575336
20211117T1000,1.8718172,22.605337
20211117T1100,2.7518172,22.955338
20211117T1200,3.7118173,23.345337
20211117T1300,4.3918176,23.475338
20211117T1400,5.1518173,23.335337
20211117T1500,5.8518176,23.145338
20211117T1600,5.9018173,22.695337
20211117T1700,5.7218175,21.545338
20211117T1800,5.6318173,19.025337
20211117T1900,4.9318175,18.065338
20211117T2000,4.4018173,17.625338
20211117T2100,4.3018174,17.155336
20211117T2200,4.4918175,16.925337
20211117T2300,4.6918173,16.885338
20211118T0000,4.6518173,17.005337
20211118T0100,4.2818174,17.105337
20211118T0200,2.7018173,17.105337
20211118T0300,0.9918173,17.085337
20211118T0400,-0.7781827,17.035337
20211118T0500,-1.1381828,16.955338
20211118T0600,0.13181733,16.925337
20211118T0700,-0.74818265,18.025337
20211118T0800,0.30181733,19.615337
20211118T0900,1.0718173,22.305338
20211118T1000,1.2718173,23.955338
20211118T1100,1.3918173,24.305338
20211118T1200,1.4318173,24.685337
20211118T1300,1.5218173,24.815338
20211118T1400,1.3718172,24.905336
20211118T1500,1.0218173,24.765337
20211118T1600,0.43181732,24.465338
20211118T1700,-0.038182676,23.805338
20211118T1800,-0.23818268,22.255337
20211118T1900,-0.82818264,21.505337
20211118T2000,-0.68818265,20.985336
20211118T2100,-0.93818265,20.745337
20211118T2200,-2.1981828,20.625338
20211118T2300,-2.5981827,20.435337
20211119T0000,-2.7381828,20.285337
20211119T0100,-2.6981828,20.145338
20211119T0200,-2.5681827,19.985336
20211119T0300,-2.7681828,19.365337
20211119T0400,-2.9381828,18.965338
20211119T0500,-3.0081828,18.875338
20211119T0600,-2.9881828,18.555338
20211119T0700,-3.1681826,17.665337
20211119T0800,-2.9481828,19.155336
20211119T0900,-1.4981828,20.625338
20211119T1000,-0.6581827,22.055338
20211119T1100,-0.108182676,22.895338
20211119T1200,0.38181734,23.045338
20211119T1300,0.7918173,21.735336
20211119T1400,1.0618173,20.465338
20211119T1500,1.0118172,19.815338
20211119T1600,0.21181731,18.255337
20211119T1700,-2.2281828,16.685337
20211119T1800,-2.8181827,15.445336
20211119T1900,-3.1281826,15.145336
20211119T2000,-3.1881828,15.165337
20211119T2100,-2.3981826,15.295337
20211119T2200,-1.9881828,15.645336
20211119T2300,-1.6781827,16.725338
20211120T0000,-1.3081827,17.195337
20211120T0100,-1.2181827,17.355337
20211120T0200,-0.34818268,17.465338
20211120T0300,0.28181735,17.525337
20211120T0400,0.9818173,17.665337
20211120T0500,1.3318173,17.625338
20211120T0600,1.3018173,17.535337
20211120T0700,1.7418172,17.745337
20211120T0800,2.1418173,18.655336
20211120T0900,3.1918173,19.355337
20211120T1000,4.0318174,19.845337
20211120T1100,3.8318174,20.095337
20211120T1200,4.1418176,19.945337
20211120T1300,4.3518176,19.795338
20211120T1400,4.4818177,19.625338
20211120T1500,4.2418175,19.485336
20211120T1600,3.7118173,19.405336
20211120T1700,3.3818173,19.225338
20211120T1800,3.4618173,18.955338
20211120T1900,3.7018173,18.885338
20211120T2000,3.8518174,19.015337
20211120T2100,3.7918172,19.085337
20211120T2200,3.3618174,19.105337
20211120T2300,3.2718172,19.125338
20211121T0000,2.4318173,19.025337
20211121T0100,1.9518173,18.795338
20211121T0200,1.7318172,18.625338
20211121T0300,1.1118172,18.195337
20211121T0400,1.1718173,17.735336
20211121T0500,0.5418173,17.315338
20211121T0600,-0.05818268,17.715338
20211121T0700,0.7918173,14.665337
20211121T0800,0.9818173,17.385338
20211121T0900,1.6218172,19.855337
20211121T1000,2.4618173,21.285337
20211121T1100,3.5118172,22.945337
20211121T1200,4.4418173,23.965338
20211121T1300,4.6018176,24.315338
20211121T1400,4.8518176,24.265337
20211121T1500,4.7618175,23.825336
20211121T1600,3.9718173,22.815338
20211121T1700,3.4418173,21.945337
20211121T1800,3.1818173,19.275337
20211121T1900,2.9518173,18.095337
20211121T2000,2.9318173,17.535337
20211121T2100,2.3518174,17.425337
20211121T2200,0.4718173,17.185337
20211121T2300,-1.3181827,16.885338
